feature,permutation_importance_mean,permutation_importance_std
amount_equals_old_origin_balance,0.519605710258267,0.006915007286834918
is_origin_account_drained,1.1102230246251565e-16,1.1102230246251565e-16
origin_balance_ratio,1.1102230246251565e-16,0.0
transfer_or_cashout_flag,5.551115123125783e-17,5.551115123125783e-17
origin_balance_error,5.551115123125783e-17,5.551115123125783e-17
amount,0.0,0.0
origin_balance_delta,0.0,0.0
step,0.0,0.0
transaction_type_encoded,0.0,0.0
amount_log,0.0,0.0
destination_balance_error,0.0,0.0
destination_balance_delta,0.0,0.0
amount_percentile,0.0,0.0
is_destination_zero_after,0.0,0.0
is_destination_zero_before,0.0,0.0
destination_balance_ratio,0.0,0.0
high_amount_flag,0.0,0.0
customer_to_customer_flag,0.0,0.0
customer_to_merchant_flag,0.0,0.0
step_hour_bucket,0.0,0.0
step_day_simulation,0.0,0.0
type_CASH_IN,0.0,0.0
type_CASH_OUT,0.0,0.0
type_DEBIT,0.0,0.0
type_PAYMENT,0.0,0.0
type_TRANSFER,0.0,0.0
